2015-07-22|05:00:12|Guest|N/A|INFO|ddd 
2015-07-22|05:02:32|app\commands\StreamController|N/A|INFO|ddd 
2015-07-22|05:06:15|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:06:43|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:06:54|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:07:06|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:07:17|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:07:28|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:07:40|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:07:51|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:08:02|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:08:14|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:08:25|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:09:07|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:09:25|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:09:36|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:09:47|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:09:58|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:10:10|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:10:21|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:10:32|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:10:37|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:10:48|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|05:11:00|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|07:54:13|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|07:54:24|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|07:54:57|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|07:58:11|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|07:58:23|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|08:01:18|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Connected to streaming API 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
2015-07-22|09:59:21|app\commands\StreamController|N/A|INFO|Data received 
