2015-08-17|07:39:08|super@gmail.com|127.0.0.1|localhost.com|INFO|site/login|Login success|[] 
2015-08-17|07:53:51|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-status|Event status updated.|[{"_id":{"$id":"55ce108ddc78c1cc0e00003c"},"keywords":"3333","eventName":"3333","status":2,"oauthToken":"333","oauthTokenSecret":"333","totPhotoTweets":16,"totTagDet":null,"lastTweetDateTime":null,"lastTweetRequest":null,"lastTweetResponse":null,"lastReqTweetUrl":null,"lastResTweetUrl":null,"resTwitterHandler":"333","testdata":null}] 
2015-08-17|07:58:19|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|07:58:39|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:00:10|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:00:29|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:00:39|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:00:41|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:01:01|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:07:43|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:08:38|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|08:08:41|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|08:10:34|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|09:50:59|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|09:51:00|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|09:51:03|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:51:12|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:54:00|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:54:37|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:54:54|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:56:25|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:57:34|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:57:35|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:59:17|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|09:59:41|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|10:00:04|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|17:33:54|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:34:10|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|17:36:05|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|17:49:02|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|17:50:20|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:53:19|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:55:55|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:57:04|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:57:35|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:58:16|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:58:45|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:58:50|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|17:59:11|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|17:59:16|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|17:59:20|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:01:45|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:02:06|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-text|Product text updated.|[] 
2015-08-17|18:02:11|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:02:17|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:02:19|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:21:28|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:21:32|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:21:43|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:22:07|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:22:09|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:22:12|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update-product-name|Product name updated.|[] 
2015-08-17|18:48:48|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update|Event updated.|[{"_id":{"$id":"55ce108ddc78c1cc0e00003c"},"keywords":"3333","eventName":"3333","status":2,"oauthToken":"333","oauthTokenSecret":"333","totPhotoTweets":16,"totTagDet":null,"lastTweetDateTime":null,"lastTweetRequest":null,"lastTweetResponse":null,"lastReqTweetUrl":null,"lastResTweetUrl":null,"resTwitterHandler":"333","testdata":null,"apiUserName":"responder_r3"}] 
2015-08-17|18:52:36|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update|Event update failed. Validation failed.|[{"apiUserName":["API Username cannot be blank."]}] 
2015-08-17|19:28:28|super@gmail.com|127.0.0.1|localhost.com|INFO|event/update|Event updated.|[{"_id":{"$id":"55ce1068dc78c1e81300002e"},"keywords":"#gtest","eventName":"Big Event","status":1,"oauthToken":"1918943665-sBJPEnK4hSZs2MYkWEHRaiILarnW1rwgDEBydcH","oauthTokenSecret":"46jI9kGM4N0a2ZLvjy6W1f8Ioe4kymiV7WxrbRHZ7dqIo","totPhotoTweets":6,"totTagDet":2,"lastTweetDateTime":{"sec":1439759387,"usec":0},"lastTweetRequest":"#gtest Place holder message 456 http:\/\/t.co\/IAxRZWK5j4","lastTweetResponse":"ArunaAttanayake Place holder message 2015-08-17 08:09:46, Big Event","lastReqTweetUrl":"https:\/\/twitter.com\/ArunaAttanayake\/status\/633105904783634432","lastResTweetUrl":"https:\/\/twitter.com\/aruna470\/status\/633105918436184064","resTwitterHandler":"aruna470","testdata":null,"apiUserName":"responder_r3"}] 
